InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Cancelled,ProductCategory,TotalPrice,Year,Month,Day,Hour,Weekend,ExpenseCategory
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,1.0,2010-12-01 14:33:00,1.65,12472,Germany,True,Decor,1.65,2010,12,1,14,False,Low
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",2.0,2010-12-01 14:33:00,0.85,12472,Germany,True,Home,1.7,2010,12,1,14,False,Low
C536548,22077,6 RIBBONS RUSTIC CHARM,6.0,2010-12-01 14:33:00,1.65,12472,Germany,True,Other,9.899999999999999,2010,12,1,14,False,Low
C536548,22631,CIRCUS PARADE LUNCH BOX,1.0,2010-12-01 14:33:00,1.95,12472,Germany,True,Kitchen,1.95,2010,12,1,14,False,Low
C536548,22168,ORGANISER WOOD ANTIQUE WHITE,2.0,2010-12-01 14:33:00,8.5,12472,Germany,True,Other,17.0,2010,12,1,14,False,Medium
C536548,21218,RED SPOTTY BISCUIT TIN,3.0,2010-12-01 14:33:00,3.75,12472,Germany,True,Other,11.25,2010,12,1,14,False,Medium
C536548,20957,PORCELAIN HANGING BELL SMALL,1.0,2010-12-01 14:33:00,1.45,12472,Germany,True,Other,1.45,2010,12,1,14,False,Low
C536548,22580,ADVENT CALENDAR GINGHAM SACK,4.0,2010-12-01 14:33:00,5.95,12472,Germany,True,Other,23.8,2010,12,1,14,False,Medium
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.0,2010-12-02 09:10:00,2.95,14092,United Kingdom,True,Decor,5.9,2010,12,2,9,False,Low
C536622,22752,SET 7 BABUSHKA NESTING BOXES,2.0,2010-12-02 10:37:00,8.5,12471,Germany,True,Decor,17.0,2010,12,2,10,False,Medium
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,2.0,2010-12-02 10:46:00,14.95,14766,United Kingdom,True,Kitchen,29.9,2010,12,2,10,False,Medium
C536642,21463,MIRRORED DISCO BALL,1.0,2010-12-02 11:56:00,5.95,14390,United Kingdom,True,Other,5.95,2010,12,2,11,False,Low
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,4.0,2010-12-02 12:50:00,4.25,16042,United Kingdom,True,Other,17.0,2010,12,2,12,False,Medium
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1.0,2010-12-02 12:50:00,7.95,16042,United Kingdom,True,Decor,7.95,2010,12,2,12,False,Low
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,2.0,2010-12-02 13:05:00,2.95,15922,United Kingdom,True,Other,5.9,2010,12,2,13,False,Low
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,100.0,2010-12-02 14:23:00,0.03,15838,United Kingdom,True,Other,280.8,2010,12,2,14,False,High
C536758,21314,SMALL GLASS HEART TRINKET POT,1.0,2010-12-02 14:25:00,2.1,13767,United Kingdom,True,Decor,2.1,2010,12,2,14,False,Low
C536760,22175,PINK OWL SOFT TOY,1.0,2010-12-02 14:29:00,2.95,17547,United Kingdom,True,Other,2.95,2010,12,2,14,False,Low
C536760,22273,FELTCRAFT DOLL MOLLY,3.0,2010-12-02 14:29:00,2.95,17547,United Kingdom,True,Other,8.850000000000001,2010,12,2,14,False,Low
C536807,22501,PICNIC BASKET WICKER LARGE,2.0,2010-12-02 16:45:00,9.95,15834,United Kingdom,True,Other,19.9,2010,12,2,16,False,Medium
C536807,22778,GLASS CLOCHE SMALL,1.0,2010-12-02 16:45:00,3.95,15834,United Kingdom,True,Other,3.95,2010,12,2,16,False,Low
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,100.0,2010-12-02 16:58:00,0.85,16546,United Kingdom,True,Decor,30.599999999999998,2010,12,2,16,False,Medium
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,100.0,2010-12-02 16:58:00,0.72,16546,United Kingdom,True,Decor,138.24,2010,12,2,16,False,High
C536812,22593,CHRISTMAS GINGHAM STAR,100.0,2010-12-02 16:58:00,0.72,16546,United Kingdom,True,Decor,103.67999999999999,2010,12,2,16,False,High
C536812,22595,CHRISTMAS GINGHAM HEART,100.0,2010-12-02 16:58:00,0.72,16546,United Kingdom,True,Decor,103.67999999999999,2010,12,2,16,False,High
C536812,22588,CARD HOLDER GINGHAM HEART,100.0,2010-12-02 16:58:00,2.1,16546,United Kingdom,True,Decor,403.20000000000005,2010,12,2,16,False,High
C536812,22130,PARTY CONE CHRISTMAS DECORATION,100.0,2010-12-02 16:58:00,0.72,16546,United Kingdom,True,Decor,103.67999999999999,2010,12,2,16,False,High
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT,2.0,2010-12-02 17:03:00,7.95,13958,United Kingdom,True,Kitchen,15.9,2010,12,2,17,False,Medium
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,6.0,2010-12-02 17:03:00,2.95,13958,United Kingdom,True,Other,17.700000000000003,2010,12,2,17,False,Medium
C536814,85066,CREAM SWEETHEART MINI CHEST,2.0,2010-12-02 17:03:00,12.75,13958,United Kingdom,True,Decor,25.5,2010,12,2,17,False,Medium
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,12.0,2010-12-02 17:03:00,2.55,13958,United Kingdom,True,Other,30.599999999999998,2010,12,2,17,False,Medium
C536814,21258,VICTORIAN SEWING BOX LARGE,1.0,2010-12-02 17:03:00,12.75,13958,United Kingdom,True,Other,12.75,2010,12,2,17,False,Medium
C536815,85175,CACTI T-LIGHT CANDLES,1.0,2010-12-02 17:05:00,0.42,14443,United Kingdom,True,Other,0.42,2010,12,2,17,False,Low
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,1.0,2010-12-02 17:05:00,1.25,14443,United Kingdom,True,Other,1.25,2010,12,2,17,False,Low
C536816,21129,SILVER FISHING GNOME,2.0,2010-12-02 17:06:00,6.95,14443,United Kingdom,True,Other,13.9,2010,12,2,17,False,Medium
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,1.0,2010-12-02 17:08:00,4.25,14156,EIRE,True,Decor,4.25,2010,12,2,17,False,Low
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1.0,2010-12-02 17:08:00,3.25,14156,EIRE,True,Other,3.25,2010,12,2,17,False,Low
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1.0,2010-12-02 17:09:00,1.25,16995,United Kingdom,True,Kitchen,1.25,2010,12,2,17,False,Low
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,1.0,2010-12-02 17:14:00,1.95,18168,United Kingdom,True,Other,1.95,2010,12,2,17,False,Low
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,1.0,2010-12-02 17:14:00,1.95,18168,United Kingdom,True,Other,1.95,2010,12,2,17,False,Low
C536820,22878,NUMBER TILE COTTAGE GARDEN NO,1.0,2010-12-02 17:14:00,2.1,18168,United Kingdom,True,Other,2.1,2010,12,2,17,False,Low
C536820,21843,RED RETROSPOT CAKE STAND,1.0,2010-12-02 17:14:00,10.95,18168,United Kingdom,True,Kitchen,10.95,2010,12,2,17,False,Medium
C536822,22847,BREAD BIN DINER STYLE IVORY,2.0,2010-12-02 17:19:00,16.95,14625,United Kingdom,True,Other,33.9,2010,12,2,17,False,Medium
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1.0,2010-12-02 17:19:00,3.75,14625,United Kingdom,True,Decor,3.75,2010,12,2,17,False,Low
C536825,22617,BAKING SET SPACEBOY DESIGN,1.0,2010-12-02 17:27:00,4.95,15384,United Kingdom,True,Decor,4.95,2010,12,2,17,False,Low
C536825,22197,SMALL POPCORN HOLDER,2.0,2010-12-02 17:27:00,0.85,15384,United Kingdom,True,Other,1.7,2010,12,2,17,False,Low
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,2.0,2010-12-02 17:30:00,4.65,17924,United Kingdom,True,Decor,9.3,2010,12,2,17,False,Low
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,3.0,2010-12-02 17:30:00,4.65,17924,United Kingdom,True,Decor,13.950000000000001,2010,12,2,17,False,Medium
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT,3.0,2010-12-02 17:31:00,6.95,13408,United Kingdom,True,Kitchen,20.85,2010,12,2,17,False,Medium
C536828,22832,BROCANTE SHELF WITH HOOKS,1.0,2010-12-02 17:35:00,10.75,14264,United Kingdom,True,Other,10.75,2010,12,2,17,False,Medium
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,3.0,2010-12-02 17:35:00,1.25,14264,United Kingdom,True,Kitchen,3.75,2010,12,2,17,False,Low
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1.0,2010-12-02 17:36:00,3.25,13295,United Kingdom,True,Other,3.25,2010,12,2,17,False,Low
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS,100.0,2010-12-03 09:47:00,7.65,14213,United Kingdom,True,Decor,367.20000000000005,2010,12,3,9,False,High
C536850,22689,DOORMAT MERRY CHRISTMAS RED,100.0,2010-12-03 09:47:00,6.75,14213,United Kingdom,True,Decor,337.5,2010,12,3,9,False,High
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,100.0,2010-12-03 09:47:00,2.55,14213,United Kingdom,True,Decor,127.49999999999999,2010,12,3,9,False,High
C536850,22580,ADVENT CALENDAR GINGHAM SACK,100.0,2010-12-03 09:47:00,4.95,14213,United Kingdom,True,Other,237.60000000000002,2010,12,3,9,False,High
C536850,22186,RED STAR CARD HOLDER,100.0,2010-12-03 09:47:00,2.55,14213,United Kingdom,True,Other,122.39999999999999,2010,12,3,9,False,High
C536853,84678,CLASSICAL ROSE SMALL VASE,1.0,2010-12-03 10:07:00,2.55,14679,United Kingdom,True,Other,2.55,2010,12,3,10,False,Low
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,1.0,2010-12-03 10:09:00,2.95,15240,United Kingdom,True,Decor,2.95,2010,12,3,10,False,Low
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,1.0,2010-12-03 10:09:00,1.25,15240,United Kingdom,True,Decor,1.25,2010,12,3,10,False,Low
C536854,21871,SAVE THE PLANET MUG,1.0,2010-12-03 10:09:00,1.25,15240,United Kingdom,True,Other,1.25,2010,12,3,10,False,Low
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT,4.0,2010-12-03 10:11:00,7.95,18225,United Kingdom,True,Kitchen,31.8,2010,12,3,10,False,Medium
C536978,22776,SWEETHEART CAKESTAND 3 TIER,1.0,2010-12-03 14:19:00,9.95,17954,United Kingdom,True,Decor,9.95,2010,12,3,14,False,Low
C536979,84685,BEACH HUT KEY CABINET,1.0,2010-12-03 14:23:00,3.75,17841,United Kingdom,True,Other,3.75,2010,12,3,14,False,Low
C536979,22630,DOLLY GIRL LUNCH BOX,1.0,2010-12-03 14:23:00,1.95,17841,United Kingdom,True,Kitchen,1.95,2010,12,3,14,False,Low
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,100.0,2010-12-03 16:21:00,2.1,13941,United Kingdom,True,Other,75.60000000000001,2010,12,3,16,False,Medium
C537039,22854,CREAM SWEETHEART EGG HOLDER,1.0,2010-12-05 10:25:00,4.95,15708,United Kingdom,True,Decor,4.95,2010,12,5,10,True,Low
C537039,20936,FORKED CACTUS CANDLE,1.0,2010-12-05 10:25:00,2.95,15708,United Kingdom,True,Other,2.95,2010,12,5,10,True,Low
C537039,85175,CACTI T-LIGHT CANDLES,1.0,2010-12-05 10:25:00,0.42,15708,United Kingdom,True,Other,0.42,2010,12,5,10,True,Low
C537043,22575,METAL MERRY CHRISTMAS WREATH,6.0,2010-12-05 10:48:00,1.95,15351,United Kingdom,True,Decor,11.7,2010,12,5,10,True,Medium
C537043,11001,ASSTD DESIGN RACING CAR PEN,1.0,2010-12-05 10:48:00,1.69,15351,United Kingdom,True,Other,1.69,2010,12,5,10,True,Low
C537132,22788,BROCANTE COAT RACK,2.0,2010-12-05 12:29:00,8.5,15221,United Kingdom,True,Other,17.0,2010,12,5,12,True,Medium
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,1.0,2010-12-05 12:29:00,8.5,15221,United Kingdom,True,Kitchen,8.5,2010,12,5,12,True,Low
C537132,71279,PINK GLASS CANDLEHOLDER,2.0,2010-12-05 12:29:00,2.95,15221,United Kingdom,True,Other,5.9,2010,12,5,12,True,Low
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,2.0,2010-12-05 12:29:00,18.0,15221,United Kingdom,True,Other,43.9,2010,12,5,12,True,Medium
C537132,22769,CHALKBOARD KITCHEN ORGANISER,8.0,2010-12-05 12:29:00,18.0,15221,United Kingdom,True,Office,175.6,2010,12,5,12,True,High
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,3.0,2010-12-05 12:29:00,12.75,15221,United Kingdom,True,Other,38.25,2010,12,5,12,True,Medium
C537143,20685,DOORMAT RED RETROSPOT,1.0,2010-12-05 12:58:00,7.95,12748,United Kingdom,True,Home,7.95,2010,12,5,12,True,Low
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,24.0,2010-12-05 13:09:00,1.25,15880,United Kingdom,True,Decor,30.0,2010,12,5,13,True,Medium
C537164,D,DISCOUNT,1.0,2010-12-05 13:21:00,18.0,14527,United Kingdom,True,Other,29.29,2010,12,5,13,True,Medium
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,1.0,2010-12-05 14:44:00,9.95,14606,United Kingdom,True,Kitchen,9.95,2010,12,5,14,True,Low
C537203,21424,WOODLAND STORAGE BOX LARGE,1.0,2010-12-05 14:44:00,2.95,14606,United Kingdom,True,Other,2.95,2010,12,5,14,True,Low
C537232,84840,SWEETHEART CARRY-ALL BASKET,2.0,2010-12-06 09:31:00,8.5,12586,Italy,True,Decor,17.0,2010,12,6,9,False,Medium
C537234,22653,BUTTON BOX,20.0,2010-12-06 09:40:00,1.95,16161,United Kingdom,True,Other,39.0,2010,12,6,9,False,Medium
C537251,22429,ENAMEL MEASURING JUG CREAM,2.0,2010-12-06 10:45:00,4.25,,United Kingdom,True,Other,8.5,2010,12,6,10,False,Low
C537251,22620,4 TRADITIONAL SPINNING TOPS,8.0,2010-12-06 10:45:00,1.25,,United Kingdom,True,Other,10.0,2010,12,6,10,False,Low
C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,2.0,2010-12-06 10:45:00,2.95,,United Kingdom,True,Accessories,5.9,2010,12,6,10,False,Low
C537251,22564,ALPHABET STENCIL CRAFT,5.0,2010-12-06 10:45:00,1.25,,United Kingdom,True,Other,6.25,2010,12,6,10,False,Low
C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,3.0,2010-12-06 10:45:00,1.25,,United Kingdom,True,Other,3.75,2010,12,6,10,False,Low
C537251,22747,POPPY'S PLAYHOUSE BATHROOM,6.0,2010-12-06 10:45:00,2.1,,United Kingdom,True,Other,12.600000000000001,2010,12,6,10,False,Medium
C537251,22454,MEASURING TAPE BABUSHKA RED,8.0,2010-12-06 10:45:00,2.95,,United Kingdom,True,Other,23.6,2010,12,6,10,False,Medium
C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,4.0,2010-12-06 10:45:00,2.95,,United Kingdom,True,Decor,11.8,2010,12,6,10,False,Medium
C537251,21915,RED  HARMONICA IN BOX,4.0,2010-12-06 10:45:00,1.25,,United Kingdom,True,Other,5.0,2010,12,6,10,False,Low
C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9.0,2010-12-06 10:45:00,2.55,,United Kingdom,True,Other,22.95,2010,12,6,10,False,Medium
C537251,22748,POPPY'S PLAYHOUSE KITCHEN,4.0,2010-12-06 10:45:00,2.1,,United Kingdom,True,Other,8.4,2010,12,6,10,False,Low
C537251,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6.0,2010-12-06 10:45:00,4.95,,United Kingdom,True,Decor,29.700000000000003,2010,12,6,10,False,Medium
C537251,22418,10 COLOUR SPACEBOY PEN,7.0,2010-12-06 10:45:00,0.85,,United Kingdom,True,Other,5.95,2010,12,6,10,False,Low
C537251,22911,PAPER CHAIN KIT LONDON,2.0,2010-12-06 10:45:00,2.95,,United Kingdom,True,Other,5.9,2010,12,6,10,False,Low
C537251,22940,FELTCRAFT CHRISTMAS FAIRY,5.0,2010-12-06 10:45:00,4.25,,United Kingdom,True,Decor,21.25,2010,12,6,10,False,Medium
C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,8.0,2010-12-06 10:45:00,2.1,,United Kingdom,True,Decor,16.8,2010,12,6,10,False,Medium
C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS,2.0,2010-12-06 10:45:00,2.95,,United Kingdom,True,Decor,5.9,2010,12,6,10,False,Low
C537251,22536,MAGIC DRAWING SLATE PURDEY,11.0,2010-12-06 10:45:00,0.42,,United Kingdom,True,Other,4.62,2010,12,6,10,False,Low
C537251,21826,EIGHT PIECE DINOSAUR SET,4.0,2010-12-06 10:45:00,1.25,,United Kingdom,True,Decor,5.0,2010,12,6,10,False,Low
C537251,22466,FAIRY TALE COTTAGE NIGHTLIGHT,3.0,2010-12-06 10:45:00,1.95,,United Kingdom,True,Other,5.85,2010,12,6,10,False,Low
C537314,21349,IVY HEART WREATH,4.0,2010-12-06 11:42:00,6.75,13497,United Kingdom,True,Decor,27.0,2010,12,6,11,False,Medium
C537320,35400,WOODEN BOX ADVENT CALENDAR,1.0,2010-12-06 11:47:00,8.95,14867,United Kingdom,True,Other,8.95,2010,12,6,11,False,Low
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4.0,2010-12-06 12:00:00,8.5,12474,Germany,True,Decor,34.0,2010,12,6,12,False,Medium
C537373,22423,REGENCY CAKESTAND 3 TIER,1.0,2010-12-06 12:55:00,12.75,14487,United Kingdom,True,Kitchen,12.75,2010,12,6,12,False,Medium
C537379,22865,HAND WARMER OWL DESIGN,10.0,2010-12-06 13:12:00,2.1,15882,United Kingdom,True,Other,21.0,2010,12,6,13,False,Medium
C537383,21658,GLASS  BEURRE DISH,1.0,2010-12-06 13:17:00,3.95,16550,United Kingdom,True,Other,3.95,2010,12,6,13,False,Low
C537383,22197,SMALL POPCORN HOLDER,1.0,2010-12-06 13:17:00,0.85,16550,United Kingdom,True,Other,0.85,2010,12,6,13,False,Low
C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,1.0,2010-12-06 13:17:00,4.25,16550,United Kingdom,True,Accessories,4.25,2010,12,6,13,False,Low
C537398,22430,ENAMEL WATERING CAN CREAM,1.0,2010-12-06 14:22:00,4.95,15426,United Kingdom,True,Other,4.95,2010,12,6,14,False,Low
C537402,22926,IVORY GIANT GARDEN THERMOMETER,4.0,2010-12-06 14:43:00,5.95,15502,United Kingdom,True,Other,23.8,2010,12,6,14,False,Medium
C537402,22927,GREEN GIANT GARDEN THERMOMETER,4.0,2010-12-06 14:43:00,5.95,15502,United Kingdom,True,Other,23.8,2010,12,6,14,False,Medium
C537402,22849,BREAD BIN DINER STYLE MINT,4.0,2010-12-06 14:43:00,14.95,15502,United Kingdom,True,Other,59.8,2010,12,6,14,False,Medium
C537402,22847,BREAD BIN DINER STYLE IVORY,4.0,2010-12-06 14:43:00,14.95,15502,United Kingdom,True,Other,59.8,2010,12,6,14,False,Medium
C537402,47580,TEA TIME DES TEA COSY,6.0,2010-12-06 14:43:00,2.55,15502,United Kingdom,True,Kitchen,15.299999999999999,2010,12,6,14,False,Medium
C537402,22196,SMALL HEART MEASURING SPOONS,12.0,2010-12-06 14:43:00,0.85,15502,United Kingdom,True,Decor,10.2,2010,12,6,14,False,Medium
C537406,22926,IVORY GIANT GARDEN THERMOMETER,4.0,2010-12-06 14:53:00,5.95,15502,United Kingdom,True,Other,23.8,2010,12,6,14,False,Medium
C537406,22927,GREEN GIANT GARDEN THERMOMETER,4.0,2010-12-06 14:53:00,5.95,15502,United Kingdom,True,Other,23.8,2010,12,6,14,False,Medium
C537406,22847,BREAD BIN DINER STYLE IVORY,4.0,2010-12-06 14:53:00,14.95,15502,United Kingdom,True,Other,59.8,2010,12,6,14,False,Medium
C537406,22849,BREAD BIN DINER STYLE MINT,4.0,2010-12-06 14:53:00,14.95,15502,United Kingdom,True,Other,59.8,2010,12,6,14,False,Medium
C537408,47580,TEA TIME DES TEA COSY,6.0,2010-12-06 14:55:00,2.55,15502,United Kingdom,True,Kitchen,15.299999999999999,2010,12,6,14,False,Medium
C537408,22196,SMALL HEART MEASURING SPOONS,12.0,2010-12-06 14:55:00,0.85,15502,United Kingdom,True,Decor,10.2,2010,12,6,14,False,Medium
C537413,22834,HAND WARMER BABUSHKA DESIGN,100.0,2010-12-06 15:07:00,2.1,14409,United Kingdom,True,Other,151.20000000000002,2010,12,6,15,False,High
C537414,POST,POSTAGE,1.0,2010-12-06 15:09:00,4.41,16861,United Kingdom,True,Other,4.41,2010,12,6,15,False,Low
C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6.0,2010-12-06 15:09:00,2.95,16861,United Kingdom,True,Decor,17.700000000000003,2010,12,6,15,False,Medium
C537416,22840,ROUND CAKE TIN VINTAGE RED,1.0,2010-12-06 15:10:00,7.95,16138,United Kingdom,True,Kitchen,7.95,2010,12,6,15,False,Low
C537417,22960,JAM MAKING SET WITH JARS,1.0,2010-12-06 15:12:00,4.25,13481,United Kingdom,True,Decor,4.25,2010,12,6,15,False,Low
C537431,21755,LOVE BUILDING BLOCK WORD,1.0,2010-12-06 16:10:00,5.95,16782,United Kingdom,True,Other,5.95,2010,12,6,16,False,Low
C537444,22580,ADVENT CALENDAR GINGHAM SACK,8.0,2010-12-07 08:42:00,5.95,14850,United Kingdom,True,Other,47.6,2010,12,7,8,False,Medium
C537445,22418,10 COLOUR SPACEBOY PEN,11.0,2010-12-07 08:57:00,0.85,15021,United Kingdom,True,Other,9.35,2010,12,7,8,False,Low
C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT,1.0,2010-12-07 11:47:00,7.95,13319,United Kingdom,True,Kitchen,7.95,2010,12,7,11,False,Low
C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,2.0,2010-12-07 11:47:00,6.35,13319,United Kingdom,True,Other,12.7,2010,12,7,11,False,Medium
C537530,22726,ALARM CLOCK BAKELIKE GREEN,2.0,2010-12-07 11:47:00,3.75,13319,United Kingdom,True,Other,7.5,2010,12,7,11,False,Low
C537572,BANK CHARGES,BANK CHARGES,1.0,2010-12-07 12:00:00,18.0,,United Kingdom,True,Other,95.38,2010,12,7,12,False,Medium
C537581,S,SAMPLES,1.0,2010-12-07 12:03:00,12.95,,United Kingdom,True,Other,12.95,2010,12,7,12,False,Medium
C537581,S,SAMPLES,1.0,2010-12-07 12:03:00,18.0,,United Kingdom,True,Other,52.0,2010,12,7,12,False,Medium
C537596,22968,ROSE COTTAGE KEEPSAKE BOX,2.0,2010-12-07 12:31:00,9.95,17954,United Kingdom,True,Other,19.9,2010,12,7,12,False,Medium
C537597,D,DISCOUNT,1.0,2010-12-07 12:34:00,18.0,15498,United Kingdom,True,Other,281.0,2010,12,7,12,False,High
C537600,AMAZONFEE,AMAZON FEE,1.0,2010-12-07 12:41:00,1.0,,United Kingdom,True,Other,1.0,2010,12,7,12,False,Low
C537602,85099B,JUMBO BAG RED RETROSPOT,1.0,2010-12-07 12:45:00,1.65,17511,United Kingdom,True,Accessories,1.65,2010,12,7,12,False,Low
C537602,21622,VINTAGE UNION JACK CUSHION COVER,1.0,2010-12-07 12:45:00,4.95,17511,United Kingdom,True,Other,4.95,2010,12,7,12,False,Low
C537602,22065,CHRISTMAS PUDDING TRINKET POT,1.0,2010-12-07 12:45:00,1.25,17511,United Kingdom,True,Decor,1.25,2010,12,7,12,False,Low
C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,1.0,2010-12-07 12:45:00,8.5,17511,United Kingdom,True,Kitchen,8.5,2010,12,7,12,False,Low
C537602,22654,DELUXE SEWING KIT,1.0,2010-12-07 12:45:00,4.95,17511,United Kingdom,True,Other,4.95,2010,12,7,12,False,Low
C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1.0,2010-12-07 12:45:00,2.55,17511,United Kingdom,True,Decor,2.55,2010,12,7,12,False,Low
C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1.0,2010-12-07 12:45:00,2.95,17511,United Kingdom,True,Other,2.95,2010,12,7,12,False,Low
C537602,22197,SMALL POPCORN HOLDER,1.0,2010-12-07 12:45:00,0.72,17511,United Kingdom,True,Other,0.72,2010,12,7,12,False,Low
