StockCode,Description
21009,"<ArrowStringArray>
['ETCHED GLASS STAR TREE DECORATION', nan]
Length: 2, dtype: str"
21027,"<ArrowStringArray>
['NINJA RABBIT PINK', nan]
Length: 2, dtype: str"
21033,"<ArrowStringArray>
['JUMBO BAG CHARLIE AND LOLA TOYS', nan]
Length: 2, dtype: str"
21051,"<ArrowStringArray>
['RIBBONS PURSE', 'FOUND']
Length: 2, dtype: str"
21054,"<ArrowStringArray>
['NURSE'S BAG SOFT TOY', nan]
Length: 2, dtype: str"
21067,"<ArrowStringArray>
['VINTAGE RED TEATIME MUG', nan]
Length: 2, dtype: str"
21069,"<ArrowStringArray>
['VINTAGE BILLBOARD TEA MUG', nan]
Length: 2, dtype: str"
21071,"<ArrowStringArray>
['VINTAGE BILLBOARD DRINK ME MUG', nan]
Length: 2, dtype: str"
21082,"<ArrowStringArray>
['SET/20 FRUIT SALAD PAPER NAPKINS', 'FOUND']
Length: 2, dtype: str"
21095,"<ArrowStringArray>
['SET/6 POSIES PAPER PLATES', nan]
Length: 2, dtype: str"
21098,"<ArrowStringArray>
['CHRISTMAS TOILET ROLL', nan, 'HAD BEEN PUT ASIDE']
Length: 3, dtype: str"
21109,"<ArrowStringArray>
['LARGE CAKE TOWEL, CHOCOLATE SPOTS', 'LARGE CAKE TOWEL CHOCOLATE SPOTS']
Length: 2, dtype: str"
21112,"<ArrowStringArray>
['SWISS ROLL TOWEL, PINK  SPOTS', 'SWISS ROLL TOWEL PINK  SPOTS']
Length: 2, dtype: str"
21143,"<ArrowStringArray>
['ANTIQUE GLASS HEART DECORATION', nan]
Length: 2, dtype: str"
21145,"<ArrowStringArray>
['ANTIQUE GLASS PLACE SETTING', nan]
Length: 2, dtype: str"
21147,"<ArrowStringArray>
['JINGLE BELLS TREE DECORATION', 'FOUND', nan]
Length: 3, dtype: str"
21174,"<ArrowStringArray>
['POTTERING IN THE SHED METAL SIGN', 'FOUND', nan]
Length: 3, dtype: str"
21175,"<ArrowStringArray>
['GIN + TONIC DIET METAL SIGN', 'GIN AND TONIC DIET METAL SIGN']
Length: 2, dtype: str"
21181,"<ArrowStringArray>
['PLEASE ONE PERSON METAL SIGN', 'ON CARGO ORDER', 'ADJUSTMENT', nan,
 'DOTCOM']
Length: 5, dtype: str"
21186,"<ArrowStringArray>
[nan, 'WHITE DOVE HONEYCOMB PAPER GARLAND']
Length: 2, dtype: str"
21190,"<ArrowStringArray>
['PINK HEARTS PAPER GARLAND', nan]
Length: 2, dtype: str"
21192,"<ArrowStringArray>
['WHITE BELL HONEYCOMB PAPER', 'WRONGLY MARKED']
Length: 2, dtype: str"
21232,"<ArrowStringArray>
['STRAWBERRY CERAMIC TRINKET BOX', 'STRAWBERRY CERAMIC TRINKET POT']
Length: 2, dtype: str"
21243,"<ArrowStringArray>
['PINK  POLKADOT PLATE', 'PINK POLKADOT PLATE']
Length: 2, dtype: str"
21244,"<ArrowStringArray>
['BLUE POLKADOT PLATE', nan]
Length: 2, dtype: str"
21257,"<ArrowStringArray>
['VICTORIAN SEWING BOX MEDIUM', nan]
Length: 2, dtype: str"
21258,"<ArrowStringArray>
['VICTORIAN SEWING BOX LARGE', nan]
Length: 2, dtype: str"
21269,"<ArrowStringArray>
['ANTIQUE CREAM CUTLERY SHELF', nan]
Length: 2, dtype: str"
21272,"<ArrowStringArray>
['SALLE DE BAIN HOOK', nan]
Length: 2, dtype: str"
21275,"<ArrowStringArray>
['ZINC TOP  2 DOOR WOODEN SHELF', nan]
Length: 2, dtype: str"
21278,"<ArrowStringArray>
['VINTAGE KITCHEN PRINT PUDDINGS', nan]
Length: 2, dtype: str"
21279,"<ArrowStringArray>
['VINTAGE KITCHEN PRINT FRUITS', nan]
Length: 2, dtype: str"
21294,"<ArrowStringArray>
['ETCHED GLASS COASTER', nan]
Length: 2, dtype: str"
21311,"<ArrowStringArray>
['SET/4 BIRD MIRROR MAGNETS', nan]
Length: 2, dtype: str"
21319,"<ArrowStringArray>
['GLASS CHALICE GREEN  SMALL', 'ADJUSTMENT']
Length: 2, dtype: str"
21324,"<ArrowStringArray>
['HANGING MEDINA LANTERN SMALL', nan]
Length: 2, dtype: str"
21348,"<ArrowStringArray>
['PINK SPOTS CHOCOLATE NESTING BOXES', nan]
Length: 2, dtype: str"
21349,"<ArrowStringArray>
['IVY HEART WREATH', nan, 'CHECK']
Length: 3, dtype: str"
21355,"<ArrowStringArray>
['TOAST ITS - I LOVE YOU', nan]
Length: 2, dtype: str"
21357,"<ArrowStringArray>
['TOAST ITS - DINOSAUR', nan]
Length: 2, dtype: str"
21359,"<ArrowStringArray>
['RELAX LARGE WOOD LETTERS', nan]
Length: 2, dtype: str"
21393,"<ArrowStringArray>
['BLUE POLKADOT PUDDING BOWL', nan]
Length: 2, dtype: str"
21394,"<ArrowStringArray>
['RED POLKADOT BEAKER', nan]
Length: 2, dtype: str"
21421,"<ArrowStringArray>
['PORCELAIN ROSE LARGE', nan]
Length: 2, dtype: str"
21429,"<ArrowStringArray>
['RED GINGHAM ROSE JEWELLERY BOX', nan]
Length: 2, dtype: str"
21445,"<ArrowStringArray>
['12 PINK ROSE PEG PLACE SETTINGS', nan]
Length: 2, dtype: str"
21472,"<ArrowStringArray>
['LADYBIRD + BEE RAFFIA FOOD COVER', nan]
Length: 2, dtype: str"
21479,"<ArrowStringArray>
['WHITE SKULL HOT WATER BOTTLE', '?']
Length: 2, dtype: str"
21484,"<ArrowStringArray>
['CHICK GREY HOT WATER BOTTLE', nan]
Length: 2, dtype: str"
21488,"<ArrowStringArray>
['RED WHITE SCARF  HOT WATER BOTTLE', nan]
Length: 2, dtype: str"
21491,"<ArrowStringArray>
['SET OF THREE VINTAGE GIFT WRAPS', nan]
Length: 2, dtype: str"
21507,"<ArrowStringArray>
['ELEPHANT, BIRTHDAY CARD,', 'ELEPHANT BIRTHDAY CARD']
Length: 2, dtype: str"
21527,"<ArrowStringArray>
['RED RETROSPOT TRADITIONAL TEAPOT', nan]
Length: 2, dtype: str"
21539,"<ArrowStringArray>
['RED RETROSPOT BUTTER DISH', 'CHECK']
Length: 2, dtype: str"
21555,"<ArrowStringArray>
['CERAMIC STRAWBERRY TRINKET TRAY', nan]
Length: 2, dtype: str"
21578,"<ArrowStringArray>
['WOODLAND DESIGN  COTTON TOTE BAG', nan, 'FOUND']
Length: 3, dtype: str"
21586,"<ArrowStringArray>
['KINGS CHOICE GIANT TUBE MATCHES', nan]
Length: 2, dtype: str"
21587,"<ArrowStringArray>
['COSY HOUR GIANT TUBE MATCHES', nan]
Length: 2, dtype: str"
21595,"<ArrowStringArray>
['DAD'S CAB ELECTRONIC METER', nan]
Length: 2, dtype: str"
21609,"<ArrowStringArray>
['SET 12 LAVENDER  BOTANICAL T-LIGHTS', nan]
Length: 2, dtype: str"
21614,"<ArrowStringArray>
[nan, 'SET OF 12 ROSE BOTANICAL T-LIGHTS']
Length: 2, dtype: str"
21620,"<ArrowStringArray>
['SET OF 4 ROSE BOTANICAL CANDLES', nan]
Length: 2, dtype: str"
21621,"<ArrowStringArray>
['VINTAGE UNION JACK BUNTING', 'RCVD BE AIR TEMP FIX FOR DOTCOM SIT']
Length: 2, dtype: str"
21632,"<ArrowStringArray>
['VINTAGE PINK DECORATIVE PARASOL', nan]
Length: 2, dtype: str"
21635,"<ArrowStringArray>
['MADRAS NOTEBOOK LARGE', nan]
Length: 2, dtype: str"
21644,"<ArrowStringArray>
['ASSORTED TUTTI FRUTTI HEART BOX', 'FOUND', 'CHECK']
Length: 3, dtype: str"
21651,"<ArrowStringArray>
['HANGING GLASS ETCHED TEALIGHT', nan]
Length: 2, dtype: str"
21655,"<ArrowStringArray>
['HANGING RIDGE GLASS T-LIGHT HOLDER', nan]
Length: 2, dtype: str"
21658,"<ArrowStringArray>
['GLASS  BEURRE DISH', nan]
Length: 2, dtype: str"
21661,"<ArrowStringArray>
[nan, 'VINTAGE GLASS TEA CADDY']
Length: 2, dtype: str"
21662,"<ArrowStringArray>
['VINTAGE GLASS COFFEE CADDY', nan]
Length: 2, dtype: str"
21664,"<ArrowStringArray>
['RIDGED GLASS STORAGE JAR CREAM LID', nan]
Length: 2, dtype: str"
21667,"<ArrowStringArray>
[nan, 'GLASS CAKE COVER AND PLATE']
Length: 2, dtype: str"
21673,"<ArrowStringArray>
['WHITE SPOT BLUE CERAMIC DRAWER KNOB', nan]
Length: 2, dtype: str"
21682,"<ArrowStringArray>
['LARGE MEDINA STAMPED METAL BOWL', nan]
Length: 2, dtype: str"
21686,"<ArrowStringArray>
['MEDINA STAMPED METAL STOOL', nan]
Length: 2, dtype: str"
21690,"<ArrowStringArray>
['SILVER  CANDLEPOT JARDIN', nan]
Length: 2, dtype: str"
21700,"<ArrowStringArray>
['BIG DOUGHNUT FRIDGE MAGNETS', 'CHECK']
Length: 2, dtype: str"
21717,"<ArrowStringArray>
['EASTER TIN BUCKET', nan]
Length: 2, dtype: str"
21736,"<ArrowStringArray>
['GOLD SCROLL GLASS T-LIGHT HOLDER', 'ADJUSTMENT', nan]
Length: 3, dtype: str"
21738,"<ArrowStringArray>
['COSY SLIPPER SHOES SMALL  RED', nan]
Length: 2, dtype: str"
21763,"<ArrowStringArray>
['VINTAGE WOODEN BAR STOOL', nan]
Length: 2, dtype: str"
21777,"<ArrowStringArray>
['RECIPE BOX WITH METAL HEART', nan]
Length: 2, dtype: str"
21784,"<ArrowStringArray>
['SHOE SHINE BOX', nan]
Length: 2, dtype: str"
21794,"<ArrowStringArray>
['CLASSIC FRENCH STYLE BASKET NATURAL', 'ADJUSTMENT']
Length: 2, dtype: str"
21801,"<ArrowStringArray>
['CHRISTMAS TREE DECORATION WITH BELL', nan]
Length: 2, dtype: str"
21803,"<ArrowStringArray>
['CHRISTMAS TREE STAR DECORATION', nan]
Length: 2, dtype: str"
21804,"<ArrowStringArray>
['WHITE CHRISTMAS GARLAND STARS TREES', 'CHECK', nan, 'DOTCOM']
Length: 4, dtype: str"
21808,"<ArrowStringArray>
['CHRISTMAS GARLAND STARS,TREES', nan]
Length: 2, dtype: str"
21809,"<ArrowStringArray>
['CHRISTMAS HANGING TREE WITH BELL', nan]
Length: 2, dtype: str"
21811,"<ArrowStringArray>
['CHRISTMAS HANGING HEART WITH BELL', 'HANGING HEART WITH BELL', 'CHECK', nan]
Length: 4, dtype: str"
21818,"<ArrowStringArray>
['GLITTER CHRISTMAS HEART', 'GLITTER HEART DECORATION']
Length: 2, dtype: str"
21823,"<ArrowStringArray>
['PAINTED METAL HEART WITH HOLLY BELL', 'AMAZON ADJUST']
Length: 2, dtype: str"
21826,"<ArrowStringArray>
['EIGHT PIECE DINOSAUR SET', nan]
Length: 2, dtype: str"
21829,"<ArrowStringArray>
['DINOSAUR KEYRINGS ASSORTED', 'ADJUSTMENT']
Length: 2, dtype: str"
21830,"<ArrowStringArray>
['ASSORTED CREEPY CRAWLIES', 'DAMAGED', nan]
Length: 3, dtype: str"
21841,"<ArrowStringArray>
['BABY MOUSE RED GINGHAM DRESS', nan]
Length: 2, dtype: str"
21868,"<ArrowStringArray>
['POTTING SHED TEA MUG', nan, 'AMAZON']
Length: 3, dtype: str"
21888,"<ArrowStringArray>
['BINGO SET', 'AMAZON']
Length: 2, dtype: str"
21897,"<ArrowStringArray>
['POTTING SHED CANDLE CITRONELLA', nan]
Length: 2, dtype: str"
21898,"<ArrowStringArray>
['POTTING SHED ROSE CANDLE', nan]
Length: 2, dtype: str"
21899,"<ArrowStringArray>
['KEY FOB , GARAGE DESIGN', 'GARAGE KEY FOB']
Length: 2, dtype: str"
21904,"<ArrowStringArray>
['HOUSE WRECKING METAL SIGN', nan]
Length: 2, dtype: str"
21911,"<ArrowStringArray>
['GARDEN METAL SIGN', nan]
Length: 2, dtype: str"
21915,"<ArrowStringArray>
['RED  HARMONICA IN BOX', 'JOHN LEWIS']
Length: 2, dtype: str"
21918,"<ArrowStringArray>
['SET 12 KIDS COLOUR  CHALK STICKS', nan]
Length: 2, dtype: str"
21927,"<ArrowStringArray>
['BLUE/CREAM STRIPE CUSHION COVER', nan]
Length: 2, dtype: str"
21928,"<ArrowStringArray>
['JUMBO BAG SCANDINAVIAN PAISLEY', 'JUMBO BAG SCANDINAVIAN BLUE PAISLEY']
Length: 2, dtype: str"
21937,"<ArrowStringArray>
['STRAWBERRY   PICNIC BAG', nan, 'FOUND']
Length: 3, dtype: str"
21973,"<ArrowStringArray>
['SET OF 36 MUSHROOM PAPER DOILIES', nan]
Length: 2, dtype: str"
21992,"<ArrowStringArray>
['VINTAGE PAISLEY STATIONERY SET', 'CHECK']
Length: 2, dtype: str"
22034,"<ArrowStringArray>
['ROBIN CHRISTMAS CARD', nan]
Length: 2, dtype: str"
22035,"<ArrowStringArray>
['VINTAGE CARAVAN GREETING CARD', nan, 'TAIG ADJUST']
Length: 3, dtype: str"
22050,"<ArrowStringArray>
['PINK PAISLEY ROSE GIFT WRAP', nan]
Length: 2, dtype: str"
22062,"<ArrowStringArray>
['CERAMIC BOWL WITH LOVE HEART DESIGN', nan]
Length: 2, dtype: str"
22078,"<ArrowStringArray>
['RIBBON REEL LACE DESIGN', nan]
Length: 2, dtype: str"
22080,"<ArrowStringArray>
['RIBBON REEL POLKADOTS', nan]
Length: 2, dtype: str"
22084,"<ArrowStringArray>
['PAPER CHAIN KIT EMPIRE', nan]
Length: 2, dtype: str"
22087,"<ArrowStringArray>
['PAPER BUNTING WHITE LACE', nan, 'AMAZON']
Length: 3, dtype: str"
22088,"<ArrowStringArray>
['PAPER BUNTING COLOURED LACE', nan]
Length: 2, dtype: str"
22114,"<ArrowStringArray>
['HOT WATER BOTTLE TEA AND SYMPATHY', nan]
Length: 2, dtype: str"
22117,"<ArrowStringArray>
['METAL SIGN HER DINNER IS SERVED', 'CHECK']
Length: 2, dtype: str"
22121,"<ArrowStringArray>
['NOEL WOODEN BLOCK LETTERS', 'HAD BEEN PUT ASIDE', nan]
Length: 3, dtype: str"
22125,"<ArrowStringArray>
['UNION JACK HOT WATER BOTTLE', nan]
Length: 2, dtype: str"
22129,"<ArrowStringArray>
['PARTY CONES CANDY TREE DECORATION', 'PARTY CONES CANDY DECORATION']
Length: 2, dtype: str"
22134,"<ArrowStringArray>
['LADLE LOVE HEART RED', 'MINI LADLE LOVE HEART RED']
Length: 2, dtype: str"
22135,"<ArrowStringArray>
['LADLE LOVE HEART PINK', 'MINI LADLE LOVE HEART PINK']
Length: 2, dtype: str"
22139,"<ArrowStringArray>
['RETROSPOT TEA SET CERAMIC 11 PC', nan, 'AMAZON']
Length: 3, dtype: str"
22142,"<ArrowStringArray>
['CHRISTMAS CRAFT WHITE FAIRY', 'CHECK']
Length: 2, dtype: str"
22145,"<ArrowStringArray>
[nan, 'CHRISTMAS CRAFT HEART STOCKING']
Length: 2, dtype: str"
22149,"<ArrowStringArray>
['FELTCRAFT 6 FLOWER FRIENDS', nan, 'CHECK']
Length: 3, dtype: str"
22157,"<ArrowStringArray>
['ANGEL DECORATION WITH LACE PADDED', nan]
Length: 2, dtype: str"
22168,"<ArrowStringArray>
['ORGANISER WOOD ANTIQUE WHITE', nan]
Length: 2, dtype: str"
22171,"<ArrowStringArray>
['3 HOOK PHOTO SHELF ANTIQUE WHITE', '?', nan]
Length: 3, dtype: str"
22173,"<ArrowStringArray>
['METAL 4 HOOK HANGER FRENCH CHATEAU', nan]
Length: 2, dtype: str"
22176,"<ArrowStringArray>
['BLUE OWL SOFT TOY', 'AMAZON']
Length: 2, dtype: str"
22179,"<ArrowStringArray>
['SET 10 LIGHTS NIGHT OWL', 'SET 10 NIGHT OWL LIGHTS']
Length: 2, dtype: str"
22180,"<ArrowStringArray>
['RETROSPOT LAMP', nan]
Length: 2, dtype: str"
22194,"<ArrowStringArray>
['BLACK DINER WALL CLOCK', nan]
Length: 2, dtype: str"
22197,"<ArrowStringArray>
['SMALL POPCORN HOLDER', 'POPCORN HOLDER']
Length: 2, dtype: str"
22199,"<ArrowStringArray>
['FRYING PAN RED RETROSPOT', 'FRYING PAN RED POLKADOT']
Length: 2, dtype: str"
22202,"<ArrowStringArray>
['MILK PAN PINK POLKADOT', nan]
Length: 2, dtype: str"
22218,"<ArrowStringArray>
[nan, 'CAKE STAND LACE WHITE']
Length: 2, dtype: str"
22242,"<ArrowStringArray>
['5 HOOK HANGER MAGIC TOADSTOOL', nan]
Length: 2, dtype: str"
22246,"<ArrowStringArray>
['MAGIC GARDEN FELT GARLAND', 'GARLAND, MAGIC GARDEN 1.8M']
Length: 2, dtype: str"
22268,"<ArrowStringArray>
['EASTER DECORATION SITTING BUNNY', 'DECORATION SITTING BUNNY']
Length: 2, dtype: str"
22272,"<ArrowStringArray>
['FELTCRAFT DOLL MARIA', nan]
Length: 2, dtype: str"
22285,"<ArrowStringArray>
['DECORATION HEN ON NEST, HANGING', 'HANGING HEN ON NEST DECORATION']
Length: 2, dtype: str"
22286,"<ArrowStringArray>
['DECORATION , WOBBLY RABBIT , METAL', 'DECORATION WOBBLY RABBIT METAL']
Length: 2, dtype: str"
22287,"<ArrowStringArray>
['DECORATION , WOBBLY CHICKEN, METAL', 'DECORATION WOBBLY CHICKEN']
Length: 2, dtype: str"
22323,"<ArrowStringArray>
['PINK POLKADOT KIDS BAG', nan]
Length: 2, dtype: str"
22353,"<ArrowStringArray>
['LUNCH BOX WITH CUTLERY FAIRY CAKES', nan]
Length: 2, dtype: str"
22355,"<ArrowStringArray>
['CHARLOTTE BAG SUKI DESIGN', 'TEST']
Length: 2, dtype: str"
22383,"<ArrowStringArray>
['LUNCH BAG SUKI  DESIGN', 'LUNCH BAG SUKI DESIGN']
Length: 2, dtype: str"
22407,"<ArrowStringArray>
['MONEY BOX FIRST ADE DESIGN', 'MONEY BOX FIRST AID DESIGN']
Length: 2, dtype: str"
22416,"<ArrowStringArray>
['SET OF 36 DOILIES SPACEBOY DESIGN', 'SET OF 36 SPACEBOY PAPER DOILIES']
Length: 2, dtype: str"
22444,"<ArrowStringArray>
['GROW YOUR OWN PLANT IN A CAN', nan]
Length: 2, dtype: str"
22451,"<ArrowStringArray>
['SILK PURSE BABUSHKA RED', nan]
Length: 2, dtype: str"
22459,"<ArrowStringArray>
['CAST IRON HOOK GARDEN TROWEL', nan]
Length: 2, dtype: str"
22466,"<ArrowStringArray>
['FAIRY TALE COTTAGE NIGHTLIGHT', 'FAIRY TALE COTTAGE NIGHT LIGHT']
Length: 2, dtype: str"
22467,"<ArrowStringArray>
['GUMBALL COAT RACK', 'WRONGLY SOLD (22719) BARCODE']
Length: 2, dtype: str"
22469,"<ArrowStringArray>
['HEART OF WICKER SMALL', nan]
Length: 2, dtype: str"
22470,"<ArrowStringArray>
['HEART OF WICKER LARGE', nan]
Length: 2, dtype: str"
22501,"<ArrowStringArray>
['PICNIC BASKET WICKER LARGE', nan, 'FOUND']
Length: 3, dtype: str"
22502,"<ArrowStringArray>
['PICNIC BASKET WICKER SMALL', nan, 'PICNIC BASKET WICKER 60 PIECES']
Length: 3, dtype: str"
22533,"<ArrowStringArray>
['MAGIC DRAWING SLATE BAKE A CAKE', 'CHECK']
Length: 2, dtype: str"
22548,"<ArrowStringArray>
['HEADS AND TAILS SPORTING FUN', 'ADJUSTMENT']
Length: 2, dtype: str"
22568,"<ArrowStringArray>
['FELTCRAFT CUSHION OWL', nan]
Length: 2, dtype: str"
22570,"<ArrowStringArray>
['FELTCRAFT CUSHION RABBIT', nan]
Length: 2, dtype: str"
22579,"<ArrowStringArray>
['WOODEN TREE CHRISTMAS SCANDINAVIAN', nan]
Length: 2, dtype: str"
22584,"<ArrowStringArray>
['PACK OF 6 PANNETONE GIFT BOXES', 'PACK OF 6 PANETTONE GIFT BOXES']
Length: 2, dtype: str"
22591,"<ArrowStringArray>
['CARDHOLDER GINGHAM CHRISTMAS TREE', nan]
Length: 2, dtype: str"
22595,"<ArrowStringArray>
['CHRISTMAS GINGHAM HEART', 'GINGHAM HEART DECORATION']
Length: 2, dtype: str"
22597,"<ArrowStringArray>
['CHRISTMAS MUSICAL ZINC HEART', 'MUSICAL ZINC HEART DECORATION']
Length: 2, dtype: str"
22602,"<ArrowStringArray>
['CHRISTMAS RETROSPOT HEART WOOD', 'RETROSPOT WOODEN HEART DECORATION']
Length: 2, dtype: str"
22606,"<ArrowStringArray>
['WOODEN SKITTLES GARDEN SET', 'CHECK', nan]
Length: 3, dtype: str"
22627,"<ArrowStringArray>
['MINT KITCHEN SCALES', nan]
Length: 2, dtype: str"
22632,"<ArrowStringArray>
['HAND WARMER RED POLKA DOT', 'HAND WARMER RED RETROSPOT', nan]
Length: 3, dtype: str"
22687,"<ArrowStringArray>
['DOORMAT CHRISTMAS VILLAGE', 'ADJUSTMENT', 'HAD BEEN PUT ASIDE', nan]
Length: 4, dtype: str"
22688,"<ArrowStringArray>
['DOORMAT PEACE ON EARTH BLUE', nan]
Length: 2, dtype: str"
22689,"<ArrowStringArray>
['DOORMAT MERRY CHRISTMAS RED', 'HAD BEEN PUT ASIDE', nan]
Length: 3, dtype: str"
22696,"<ArrowStringArray>
['WICKER WREATH LARGE', nan]
Length: 2, dtype: str"
22719,"<ArrowStringArray>
['GUMBALL MONOCHROME COAT RACK', nan]
Length: 2, dtype: str"
22720,"<ArrowStringArray>
['SET OF 3 CAKE TINS PANTRY DESIGN', nan]
Length: 2, dtype: str"
22722,"<ArrowStringArray>
['SET OF 6 SPICE TINS PANTRY DESIGN', nan]
Length: 2, dtype: str"
